product_id,name,brand,category,price,size_value,size_unit,ingredients,key_ingredients,source,date_collected
P001,hold me tight pro shampoo spring wonder,Lavojoy,Shampoo,97520,280,ml,"water, cocamidopropyl hydroxsultaine, sodium c14-16 olefin sulfonate, sodium lauroyl sarcosinate, sodium lauroamphoaetate, sodium taurine cocoyl methyltaurate, sodium chloride, phenoxyethanol, peg-40 hydrogenated castor oil, fragrance, cocamide mea, cocamidopropyl betaine, hydroxyacetopjenone, betaine, peg-6 caprylick capric glycerides, piroctone olamine, sodium isostearoyl lactylate, polyquaternium-10, citric acid, sodium cocoyl isethionate, trimethylolpropane tricaprylate tricaprate, etidronic acid, panthenol, butylene glycol, phytosteryl oleate, glyceryl behenate, sodium benzoate, ppg-26-buteth-26, zingiber officinale root extract, anemarrhena asphodeloides root extract, panax ginseng root extract, propylene glycol, caffeine, angelica polymorpha sinensis root extract, biota orientalis leaf extract, polygonum multiflorum root extract, 1, 2-hexanediol, caprylyl glycol, cyclodextrin, chlorphenesin, adenosine, glycerin, ethylhexylglycerin, diaminopyrimidine oxide, niacinamide, yeast extract, aesculus hippocastanum seed extract, ammonium glycyrrhizate, zinc gluconate, sodium citrate, chrysin, arginine, oleanolic acid, palmityoyl tripeptide-1, myristoyl pentapeptide-4, acetyl tetrapeptide-3, hexapeptide-3, biotin","[""piroctone olamine"", ""panthenol"", ""panax ginseng root extract"", ""caffeine"", ""polygonum multiflorum root extract"", ""adenosine"", ""glycerin"", ""diaminopyrimidine oxide"", ""niacinamide"", ""aesculus hippocastanum seed extract"", ""zinc gluconate"", ""chrysin"", ""arginine"", ""oleanolic acid"", ""acetyl tetrapeptide-3"", ""biotin""]",https://www.sociolla.com/shampoo/77587-hold-me-tight-pro-shampoo-spring-wonder,11/1/2025
P002,real mary exfoliating scalp shampoo,Rated Green,Shampoo,89100,100,ml,"water, rosmarinus offici nalis leaf water, sodium cocoyl isethionate, sodium methyl cocoyl taurate, disodium laureth sulfosuccinate, sodium lauroyl lactylate, decyl glucoside, rosmarinus officinalis leaf oil, quillaja saponaria bark extract, zingiber officina le root extract, mentha piperita oil, glycerin, methylpropanediol, lauramide mipa, caprylyl glycol, coco - glucoside, citric acid, 1, 2-hexanediol, trihydroxystearin, caprylic capric triglyceride, ethylhexylglycerin, polyquaternium-10, salicylic acid, sodium citrate, sodium phytate, butylene glycol, tocopherol, alcohol, cetearyl alcohol, sodium benzoate, limonene","[""rosmarinus officinalis leaf oil"", ""glycerin"", ""salicylic acid"", ""tocopherol""]",https://www.sociolla.com/shampoo/14647-real-mary-exfoliating-scalp-shampoo?size=100_ml,11/1/2025
P003,real grow anti-hair loss stimulating scalp spray,Rated Green,Hair Tonic,211500,120,ml,"rosmarinus officinalis leaf water, water, alcohol, dipropylene glycol, glycerin, methylpropanediol, rosmarinus officinalis leaf oil, pinus sylvestris leaf oil, glycine soja seed extract, citrus aurantium dulcis peel oil, cocos nucifera fruit extract, octyldodeceth-16, 1, 2-hexanediol, menthol, salicylic acid, panthenol, tromethamine, zinc lactate, ethylhexylglycerin, pentylene glycol, butylene glycol, octanediol, biotin, hydrogenated lecithin, polyglyceryl-10 stearate, sodium ascorbyl phosphate, tocopheryl acetate, glyceryl arachidonate, glyceryl linolenate, retinyl palmitate, caffeine, limonene, linalool, geranio","[""glycerin"", ""rosmarinus officinalis leaf oil"", ""menthol"", ""salicylic acid"", ""panthenol"", ""zinc lactate"", ""biotin"", ""sodium ascorbyl phosphate"", ""tocopheryl acetate"", ""retinyl palmitate"", ""caffeine""]",https://www.sociolla.com/hair-serum/56919-real-grow-anti-hair-loss-stimulating-scalp-spray,11/1/2025
P004,texture experience conditioner green tea butter,Makarizo Professional,Conditioner,66600,250,ml,"aqua water, sodium laureth sulfate, cocamidopropyl betaine, glycerin, polyquaternium-7, sodium chloride, fragrance","[""glycerin""]",https://www.sociolla.com/conditioner/28173-texture-experience-conditioner-green-tea-butter,11/1/2025
P005,keratin pro daily use hair mask,CBD Professional,Hair Mask,76800,250,g,"aqua, cyclopentasiloxane, behentrimonium chloride, hydroxypropyl starch phosphate, cetearyl alcohol, perfume, cetyl alcohol, glyceryl stearate, cetrimonium chloride, dimethiconol, isopropanol, peg-100 stearate, phenoxyethanol, panthenol, sodium pca, sorbitan caprylate, bht, disodium edta, hydrolyzed keratin, benzotriazolyl dodecyl p-cresol, sodium metabisulfite, citric acid","[""panthenol"", ""hydrolyzed keratin""]",https://www.sociolla.com/hair-mask/67659-keratin-pro-daily-use-hair-mask-500gr,11/1/2025
P006,bonvie kemiri gin tonic (with biotin + aloe vera + peppermint),Bonvie,Hair Tonic,90200,60,ml,"oleanolic acid, biotin, ginseng, kemiri, peppermint dan aloe vera","[""oleanolic acid"", ""biotin"", ""panax ginseng root extract""]",https://www.sociolla.com/hair-tonic/86019-bonvie-kemiri-gin-tonic-with-biotin-aloe-vera-peppermint,11/1/2025
P007,rosemary hair growth oil,Lash Boss,Hair Serum,255000,100,ml,"rosemary, 3% encapsulated biotin, rice bran oil, argan and jojoba oil","[""biotin""]",https://www.sociolla.com/hair-oil/82652-rosemary-hair-growth-oil?size=100_ml,11/1/2025
P008,hot oil hair & scalp treatment by ree dermawellness,Ree Derma Wellness,Hair Oil,204600,100,ml,"water, capsicum anuum powder, ascorbic acid, pyridoxine, tacopherols, manganese, flavonoids cocos nucifera oil, phylloquinone occurs naturally from ingredients","[""ascorbic acid""]",https://www.sociolla.com/hair-oil/62563-hot-oil-hair-and-scalp-treatment-by-ree-dermawellness?size=100ml,11/1/2025
P009,erhair scalperfect allantoin & silk protein scalp soothing serum,Erha,Scalp Serum,95200,30,ml,"allantoin, hydrolyzed silk protein, piroctone olamine, zinc gluconate, niacinamide, salicylic acid, menthol","[""allantoin"", ""hydrolyzed silk"", ""piroctone olamine"", ""zinc gluconate"", ""niacinamide"", ""salicylic acid"", ""menthol""]",https://www.sociolla.com/hair-serum/53680-erhair-scalperfect-allantoin-and-silk-protein-scalp-soothing-serum,11/1/2025
P010,ciara hair perfector protein cream,Ciara,Hair Vitamin,109250,60,ml,"silk amino extract, rambutan seed extract, keratin, hyaluranic acid","[""keratin""]",https://www.sociolla.com/hair-serum/85953-ciara-hair-perfector-protein-cream,11/1/2025
