product_id,name,category,source,date_collected,brand_normalized,size_value,size_Units,price_Normalized,ingredients_normalized,key_ingredients,category_trimmed,,category_master,category_fix
P001,Hold Me Tight Pro Shampoo Spring Wonder,Shampoo,https://www.sociolla.com/shampoo/77587-hold-me-tight-pro-shampoo-spring-wonder,11/1/2025,Lavojoy,280,ml,97520,"water, cocamidopropyl hydroxsultaine, sodium c14-16 olefin sulfonate, sodium lauroyl sarcosinate, sodium lauroamphoaetate, sodium taurine cocoyl methyltaurate, sodium chloride, phenoxyethanol, peg-40 hydrogenated castor oil, fragrance, cocamide mea, cocamidopropyl betaine, hydroxyacetopjenone, betaine, peg-6 caprylick/capric glycerides, piroctone olamine, sodium isostearoyl lactylate, polyquaternium-10, citric acid, sodium cocoyl isethionate, trimethylolpropane tricaprylate/tricaprate, etidronic acid, panthenol, butylene glycol, phytosteryl oleate, glyceryl behenate, sodium benzoate, ppg-26-buteth-26, zingiber officinale (ginger) root extract, anemarrhena asphodeloides root extract, panax ginseng root extract, propylene glycol, caffeine, angelica polymorpha sinensis root extract, biota orientalis leaf extract, polygonum multiflorum root extract, 1,2-hexanediol, caprylyl glycol, cyclodextrin, chlorphenesin, adenosine, glycerin, ethylhexylglycerin, diaminopyrimidine oxide, niacinamide, yeast extract, aesculus hippocastanum (horse chestnut) seed extract, ammonium glycyrrhizate, zinc gluconate, sodium citrate, chrysin, arginine, oleanolic acid, palmityoyl tripeptide-1, myristoyl pentapeptide-4, acetyl tetrapeptide-3, hexapeptide-3, biotin.","adenosine, arginine, biotin, caffeine, chrysin, diaminopyrimidine oxide, niacinamide, oleanolic acid, panax ginseng root extract, panthenol, piroctone olamine, polygonum multiflorum root extract, zinc gluconate",Shampoo,,Shampoo,Shampoo
P002,Real Mary Exfoliating Scalp Shampoo,Shampoo,https://www.sociolla.com/shampoo/14647-real-mary-exfoliating-scalp-shampoo?size=100_ml,11/1/2025,Rated Green,100,ml,89100,"water, rosmarinus offici nalis (rosemary) leaf water, sodium cocoyl isethionate, sodium methyl cocoyl taurate, disodium laureth sulfosuccinate, sodium lauroyl lactylate, decyl glucoside, rosmarinus officinalis (rosemary) leaf oil, quillaja saponaria bark extract, zingiber officina le (ginger) root extract, mentha piperita (peppermint) oil, glycerin, methylpropanediol, lauramide mipa, caprylyl glycol, coco - glucoside, citric acid, 1,2-hexanediol, trihydroxystearin, caprylic/capric triglyceride, ethylhexylglycerin, polyquaternium-10, salicylic acid, sodium citrate, sodium phytate, butylene glycol, tocopherol, alcohol, cetearyl alcohol, sodium benzoate, limonene","salicylic acid, tocopherol",Shampoo,,Hair Tonic,Shampoo
P003,Real Grow Anti-Hair Loss Stimulating Scalp Spray,Hair Tonic,https://www.sociolla.com/hair-serum/56919-real-grow-anti-hair-loss-stimulating-scalp-spray,11/1/2025,Rated Green,120,ml,211500,"rosmarinus officinalis (rosemary) leaf water, water, alcohol, dipropylene glycol, glycerin, methylpropanediol, rosmarinus officinalis (rosemary) leaf oil, pinus sylvestris leaf oil, glycine soja (soybean) seed extract, citrus aurantium dulcis (orange) peel oil, cocos nucifera (coconut) fruit extract, octyldodeceth-16, 1,2-hexanediol, menthol, salicylic acid, panthenol, tromethamine, zinc lactate, ethylhexylglycerin, pentylene glycol, butylene glycol, octanediol, biotin, hydrogenated lecithin, polyglyceryl-10 stearate, sodium ascorbyl phosphate, tocopheryl acetate, glyceryl arachidonate, glyceryl linolenate, retinyl palmitate, caffeine, limonene, linalool, geranio","biotin, caffeine, menthol, panthenol, retinyl palmitate, salicylic acid, sodium ascorbyl phosphate, tocopheryl acetate, zinc lactate",Hair Tonic,,Conditioner,Hair Tonic
P004,Texture Experience Conditioner Green Tea Butter,Conditioner,https://www.sociolla.com/conditioner/28173-texture-experience-conditioner-green-tea-butter,11/1/2025,Makarizo Professional,250,ml,66600,"aqua/water, sodium laureth sulfate, cocamidopropyl betaine, glycerin, polyquaternium-7, sodium chloride, fragrance",,Conditioner,,Hair Mask,Conditioner
P005,Keratin Pro Daily Use Hair Mask,Hair Mask,https://www.sociolla.com/hair-mask/67659-keratin-pro-daily-use-hair-mask-500gr,11/1/2025,Cbd Professional,250,g,76800,"aqua, cyclopentasiloxane, behentrimonium chloride, hydroxypropyl starch phosphate, cetearyl alcohol, perfume, cetyl alcohol, glyceryl stearate, cetrimonium chloride, dimethiconol, isopropanol, peg-100 stearate, phenoxyethanol, panthenol, sodium pca, sorbitan caprylate, bht, disodium edta, hydrolyzed keratin, benzotriazolyl dodecyl p-cresol, sodium metabisulfite, citric acid.","hydrolyzed keratin, keratin, panthenol",Hair Mask,,Hair Serum,Hair Mask
P006,BONVIE Kemiri Gin Tonic (with Biotin + Aloe Vera + Peppermint),Hair Tonic,https://www.sociolla.com/hair-tonic/86019-bonvie-kemiri-gin-tonic-with-biotin-aloe-vera-peppermint,11/1/2025,Bonvie,60,ml,90200,"oleanolic acid, biotin, ginseng, kemiri, peppermint dan aloe vera.","biotin, oleanolic acid",Hair Tonic,,Hair Oil,Hair Tonic
P007,Rosemary Hair Growth Oil,Hair Serum,https://www.sociolla.com/hair-oil/82652-rosemary-hair-growth-oil?size=100_ml,11/1/2025,Lash Boss,100,ml,255000,"rosemary,3% encapsulated biotin,rice bran oil,argan and jojoba oil",biotin,Hair Serum,,Hair Vitamin,Hair Serum
P008,Hot Oil Hair & Scalp Treatment by Ree DermaWellness,Hair Oil,https://www.sociolla.com/hair-oil/62563-hot-oil-hair-and-scalp-treatment-by-ree-dermawellness?size=100ml,11/1/2025,Ree Derma Wellness,100,ml,204600,"water (aqua), capsicum anuum powder, ascorbic acid (vitamin o), pyridoxine (vitamin b6), tacopherols (vitamin e), manganese, flavonoids cocos nucifera (coconut) oil, phylloquinone (vitamin k) occurs naturally from ingredients.",ascorbic acid,Hair Oil,,Scalp Serum,Hair Oil
P009,ERHAIR Scalperfect Allantoin & Silk Protein Scalp Soothing Serum,Scalp serum,https://www.sociolla.com/hair-serum/53680-erhair-scalperfect-allantoin-and-silk-protein-scalp-soothing-serum,11/1/2025,Erha,30,ml,95200,"allantoin, hydrolyzed silk protein, piroctone olamine, zinc gluconate, niacinamide, salicylic acid (bha), menthol","allantoin, hydrolyzed silk, menthol, niacinamide, piroctone olamine, salicylic acid, zinc gluconate",Scalp Serum,,Heat Protection,Scalp Serum
P010,Ciara Hair Perfector Protein Cream,Hair Vitamin,https://www.sociolla.com/hair-serum/85953-ciara-hair-perfector-protein-cream,11/1/2025,Ciara,60,ml,109250,"silk amino extract, rambutan seed extract,keratin,hyaluranic acid",keratin,Hair Vitamin,,Creambath,Hair Vitamin
